vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(Phi_e),avg(V),avg(X),avg(Y),avg(Z),avg(vtkOriginalPointIds),max(Phi_e),max(V),max(X),max(Y),max(Z),max(vtkOriginalPointIds),med(Phi_e),med(V),med(X),med(Y),med(Z),med(vtkOriginalPointIds),min(Phi_e),min(V),min(X),min(Y),min(Z),min(vtkOriginalPointIds),q1(Phi_e),q1(V),q1(X),q1(Y),q1(Z),q1(vtkOriginalPointIds),q3(Phi_e),q3(V),q3(X),q3(Y),q3(Z),q3(vtkOriginalPointIds),std(Phi_e),std(V),std(X),std(Y),std(Z),std(vtkOriginalPointIds),vtkValidPointMask
1,0,1,0,0,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,0,0,0,0,0,1
1,1,1,1,0,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,0,0,0,0,0,1
1,2,1,2,0,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,0,0,0,0,0,1
1,3,1,3,0,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,0,0,0,0,0,1
1,4,1,4,0,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,0,0,0,0,0,1
1,5,1,5,0,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,0,0,0,0,0,1
1,6,1,6,0,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,0,0,0,0,0,1
1,7,1,7,0,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,0,0,0,0,0,1
1,8,1,8,0,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,0,0,0,0,0,1
1,9,1,9,0,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,-91.3392,0.16,0.2,0,218,0,0,0,0,0,0,1
