vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(Phi_e),avg(V),avg(X),avg(Y),avg(Z),avg(vtkOriginalPointIds),max(Phi_e),max(V),max(X),max(Y),max(Z),max(vtkOriginalPointIds),med(Phi_e),med(V),med(X),med(Y),med(Z),med(vtkOriginalPointIds),min(Phi_e),min(V),min(X),min(Y),min(Z),min(vtkOriginalPointIds),q1(Phi_e),q1(V),q1(X),q1(Y),q1(Z),q1(vtkOriginalPointIds),q3(Phi_e),q3(V),q3(X),q3(Y),q3(Z),q3(vtkOriginalPointIds),std(Phi_e),std(V),std(X),std(Y),std(Z),std(vtkOriginalPointIds),vtkValidPointMask
1,0,1,0,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,1,1,1,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,2,1,2,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,3,1,3,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,4,1,4,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,5,1,5,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,6,1,6,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,7,1,7,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,8,1,8,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,9,1,9,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,10,1,10,0,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,-91.3392,0.24,0.2,0,222,0,0,0,0,0,0,1
1,11,1,11,0,98.6687,-91.4531,0.24,0.2,0,222,98.6687,-91.4531,0.24,0.2,0,222,98.6687,-91.4531,0.24,0.2,0,222,98.6687,-91.4531,0.24,0.2,0,222,98.6687,-91.4531,0.24,0.2,0,222,98.6687,-91.4531,0.24,0.2,0,222,0,0,0,0,0,0,1
1,12,1,12,0,98.2946,-91.1102,0.24,0.2,0,222,98.2946,-91.1102,0.24,0.2,0,222,98.2946,-91.1102,0.24,0.2,0,222,98.2946,-91.1102,0.24,0.2,0,222,98.2946,-91.1102,0.24,0.2,0,222,98.2946,-91.1102,0.24,0.2,0,222,0,0,0,0,0,0,1
1,13,1,13,0,98.2563,-91.0208,0.24,0.2,0,222,98.2563,-91.0208,0.24,0.2,0,222,98.2563,-91.0208,0.24,0.2,0,222,98.2563,-91.0208,0.24,0.2,0,222,98.2563,-91.0208,0.24,0.2,0,222,98.2563,-91.0208,0.24,0.2,0,222,0,0,0,0,0,0,1
1,14,1,14,0,98.7653,-91.5539,0.24,0.2,0,222,98.7653,-91.5539,0.24,0.2,0,222,98.7653,-91.5539,0.24,0.2,0,222,98.7653,-91.5539,0.24,0.2,0,222,98.7653,-91.5539,0.24,0.2,0,222,98.7653,-91.5539,0.24,0.2,0,222,0,0,0,0,0,0,1
1,15,1,15,0,99.3114,-92.6155,0.24,0.2,0,222,99.3114,-92.6155,0.24,0.2,0,222,99.3114,-92.6155,0.24,0.2,0,222,99.3114,-92.6155,0.24,0.2,0,222,99.3114,-92.6155,0.24,0.2,0,222,99.3114,-92.6155,0.24,0.2,0,222,0,0,0,0,0,0,1
1,16,1,16,0,99.9062,-94.0141,0.24,0.2,0,222,99.9062,-94.0141,0.24,0.2,0,222,99.9062,-94.0141,0.24,0.2,0,222,99.9062,-94.0141,0.24,0.2,0,222,99.9062,-94.0141,0.24,0.2,0,222,99.9062,-94.0141,0.24,0.2,0,222,0,0,0,0,0,0,1
1,17,1,17,0,100.731,-95.5768,0.24,0.2,0,222,100.731,-95.5768,0.24,0.2,0,222,100.731,-95.5768,0.24,0.2,0,222,100.731,-95.5768,0.24,0.2,0,222,100.731,-95.5768,0.24,0.2,0,222,100.731,-95.5768,0.24,0.2,0,222,0,0,0,0,0,0,1
1,18,1,18,0,101.682,-97.1767,0.24,0.2,0,222,101.682,-97.1767,0.24,0.2,0,222,101.682,-97.1767,0.24,0.2,0,222,101.682,-97.1767,0.24,0.2,0,222,101.682,-97.1767,0.24,0.2,0,222,101.682,-97.1767,0.24,0.2,0,222,0,0,0,0,0,0,1
1,19,1,19,0,102.626,-98.7256,0.24,0.2,0,222,102.626,-98.7256,0.24,0.2,0,222,102.626,-98.7256,0.24,0.2,0,222,102.626,-98.7256,0.24,0.2,0,222,102.626,-98.7256,0.24,0.2,0,222,102.626,-98.7256,0.24,0.2,0,222,0,0,0,0,0,0,1
1,20,1,20,0,103.509,-100.168,0.24,0.2,0,222,103.509,-100.168,0.24,0.2,0,222,103.509,-100.168,0.24,0.2,0,222,103.509,-100.168,0.24,0.2,0,222,103.509,-100.168,0.24,0.2,0,222,103.509,-100.168,0.24,0.2,0,222,0,0,0,0,0,0,1
